Scrip,Open,High,Low,Close,Volume,Date
CENTRALPHL,11.8,11.8,11.8,11.8,4201,2023-01-01
CITYBANK,21.8,21.8,21.8,21.8,5248,2023-01-31
CITYBANK,21.8,21.8,21.8,21.8,15341,2023-01-01
CITYGENINS,32.1,32.1,32.1,32.1,10183,2023-01-31
CITYGENINS,25.7,26.0,25.7,25.7,75441,2023-01-01
CLICL,67.4,68.9,67.4,67.4,650284,2023-01-31
CLICL,61.6,61.8,60.8,60.8,465024,2023-01-01
CONFIDCEM,89.0,89.0,89.0,89.0,262,2023-01-31
CONFIDCEM,89.0,89.0,89.0,89.0,6255,2023-01-01
CONTININS,33.1,33.3,33.1,33.1,28413,2023-01-31
CONTININS,30.6,31.1,30.0,30.0,40642,2023-01-01
COPPERTECH,36.9,36.9,36.9,36.9,100,2023-01-31
COPPERTECH,36.9,36.9,36.9,36.9,530,2023-01-01
CRYSTALINS,41.3,41.3,41.3,41.3,4260,2023-01-31
CRYSTALINS,40.3,40.4,39.9,39.9,20462,2023-01-01
DACCADYE,15.1,15.1,15.1,15.1,206,2023-01-31
DACCADYE,17.3,17.3,17.3,17.3,100,2023-01-01
DBH,57.8,57.8,57.8,57.8,9398,2023-01-31
DBH,57.8,57.8,57.8,57.8,2,2023-01-01
DELTALIFE,136.5,136.5,136.5,136.5,37891,2023-01-31
DELTALIFE,136.5,136.5,136.5,136.5,2407,2023-01-01
DELTASPINN,8.5,8.5,8.5,8.5,11,2023-01-31
DELTASPINN,8.5,8.5,8.5,8.5,5010,2023-01-01
DESHBANDHU,17.4,17.4,17.4,17.4,2909,2023-01-31
DESHBANDHU,17.9,17.9,17.9,17.9,102,2023-01-01
DGIC,33.1,33.1,33.1,33.1,58006,2023-01-31
DGIC,32.5,32.7,32.2,32.2,98356,2023-01-01
DHAKABANK,13.2,13.4,13.2,13.2,118947,2023-01-31
DHAKABANK,13.2,13.2,13.2,13.2,18423,2023-01-01
DHAKAINS,66.2,66.2,66.2,66.2,111471,2023-01-31
DHAKAINS,47.5,47.5,47.5,47.5,1711,2023-01-01
DOMINAGE,18.1,18.1,18.1,18.1,17976,2023-01-31
DOMINAGE,20.8,20.8,20.8,20.8,250033,2023-01-01
DOREENPWR,61.0,61.0,61.0,61.0,254,2023-01-31
DOREENPWR,61.0,61.0,61.0,61.0,1015,2023-01-01
DSHGARME,110.8,110.8,110.8,110.8,1044,2023-01-31
DSHGARME,141.9,141.9,141.9,141.9,1731,2023-01-01
DULAMIACOT,69.4,69.4,69.4,69.4,5,2023-01-31
DULAMIACOT,72.3,72.3,72.3,72.3,1,2023-01-01
DUTCHBANGL,62.6,62.6,62.6,62.6,132,2023-01-31
DUTCHBANGL,62.6,62.6,62.6,62.6,20648,2023-01-01
EASTERNINS,54.1,54.1,54.1,54.1,33510,2023-01-31
EASTERNINS,48.7,48.7,48.7,48.7,1562,2023-01-01
EASTLAND,26.7,26.7,26.7,26.7,109,2023-01-31
EASTLAND,24.2,24.2,24.2,24.2,2892,2023-01-01
EASTRNLUB,1674.0,1674.0,1610.0,1645.3,13366,2023-01-31
EASTRNLUB,1589.0,1589.0,1589.0,1589.0,165,2023-01-01
EBL,31.8,31.8,31.8,31.8,4542,2023-01-31
EBL,31.8,31.8,31.8,31.8,636,2023-01-01
ECABLES,202.5,206.0,196.0,199.5,160015,2023-01-31
ECABLES,195.7,198.4,187.1,189.3,30531,2023-01-01
EGEN,53.7,53.8,51.6,52.1,165768,2023-01-31
EGEN,51.9,52.4,49.5,49.9,114716,2023-01-01
EHL,106.7,111.9,106.0,108.4,2478818,2023-01-31
EHL,80.9,80.9,76.4,76.7,553280,2023-01-01
EIL,28.0,28.0,28.0,28.0,11972,2023-01-31
EIL,27.1,27.1,27.1,27.1,1223,2023-01-01
EMERALDOIL,28.6,28.6,28.6,28.6,14337,2023-01-31
EMERALDOIL,34.6,34.6,34.6,34.6,200,2023-01-01
EPGL,34.5,34.5,34.5,34.5,5,2023-01-31
EPGL,34.5,34.5,34.5,34.5,182,2023-01-01
EXIMBANK,10.4,10.4,10.4,10.4,6676,2023-01-31
EXIMBANK,10.4,10.4,10.4,10.4,2493,2023-01-01
FAMILYTEX,4.9,4.9,4.9,4.9,6,2023-01-31
FAMILYTEX,4.9,4.9,4.9,4.9,10502,2023-01-01
FARCHEM,10.6,10.6,10.6,10.6,6139,2023-01-31
FARCHEM,10.6,10.6,10.6,10.6,725,2023-01-01
FAREASTLIF,81.7,84.7,81.7,82.1,439038,2023-01-31
FAREASTLIF,75.0,75.0,75.0,75.0,20,2023-01-01
FBFIF,5.0,5.0,5.0,5.0,608400,2023-01-31
FBFIF,5.0,5.0,5.0,5.0,261872,2023-01-01
FEDERALINS,25.5,25.7,25.5,25.5,26272,2023-01-31
FEDERALINS,24.6,24.6,24.6,24.6,1072,2023-01-01
FEKDIL,17.2,17.2,17.2,17.2,700,2023-01-31
FEKDIL,17.2,17.2,17.2,17.2,479,2023-01-01
FINEFOODS,57.7,57.7,57.7,57.7,19817,2023-01-31
FINEFOODS,62.9,62.9,60.3,60.7,87782,2023-01-01
FIRSTSBANK,9.8,9.8,9.8,9.8,3311,2023-01-31
FIRSTSBANK,9.8,9.8,9.8,9.8,2837,2023-01-01
FORTUNE,75.7,75.7,75.7,75.7,1,2023-01-31
FORTUNE,75.7,75.7,75.7,75.7,464,2023-01-01
GBBPOWER,17.0,17.0,17.0,17.0,5438,2023-01-31
GBBPOWER,19.2,19.2,19.2,19.2,12,2023-01-01
GEMINISEA,428.0,432.6,411.9,416.3,372521,2023-01-31
GEMINISEA,370.0,371.8,355.0,358.2,63887,2023-01-01
GENEXIL,103.7,103.7,98.9,100.9,5733300,2023-01-31
GENEXIL,81.8,81.9,78.1,78.6,1090886,2023-01-01
GENNEXT,6.0,6.0,6.0,6.0,126103,2023-01-31
GENNEXT,6.0,6.0,6.0,6.0,2946,2023-01-01
GHCL,35.1,35.1,35.1,35.1,1,2023-01-31
GHCL,35.1,35.1,35.1,35.1,1,2023-01-01
GIB,9.0,9.0,9.0,9.0,6917,2023-01-31
GIB,9.0,9.0,9.0,9.0,7417,2023-01-01
GLDNJMF,9.9,9.9,9.9,9.9,10,2023-01-31
GLDNJMF,9.9,9.9,9.9,9.9,1000,2023-01-01
GLOBALINS,33.9,33.9,33.9,33.9,8331,2023-01-31
GLOBALINS,30.9,30.9,30.9,30.9,1911,2023-01-01
GOLDENSON,18.2,18.2,18.2,18.2,1,2023-01-31
GOLDENSON,18.2,18.2,18.2,18.2,100,2023-01-01
GP,286.6,286.6,286.6,286.6,9125,2023-01-31
GP,286.6,286.6,286.6,286.6,1154,2023-01-01
GPHISPAT,44.8,44.8,44.8,44.8,3331,2023-01-31
GPHISPAT,44.8,44.8,44.8,44.8,248,2023-01-01
GQBALLPEN,91.8,91.8,89.5,89.7,9944,2023-01-31
GQBALLPEN,98.4,100.9,97.3,97.3,16438,2023-01-01
GREENDELT,68.5,71.5,68.5,68.6,63523,2023-01-31
GREENDELT,65.1,65.1,65.1,65.1,710,2023-01-01
HAKKANIPUL,53.9,54.5,53.9,54.1,42324,2023-01-31
HAKKANIPUL,59.0,59.2,58.5,58.5,47330,2023-01-01
HFL,19.4,19.4,19.4,19.4,2126,2023-01-31
HFL,21.0,21.0,21.0,21.0,23,2023-01-01
HWAWELLTEX,45.3,46.0,45.1,45.1,23437,2023-01-31
HWAWELLTEX,45.0,45.3,45.0,45.2,25770,2023-01-01
IBNSINA,286.6,286.6,286.6,286.6,2435,2023-01-31
IBNSINA,286.6,286.6,286.6,286.6,850,2023-01-01
IBP,19.0,19.0,19.0,19.0,178,2023-01-31
IBP,16.4,16.4,16.4,16.4,12245,2023-01-01
ICB,87.6,87.6,87.6,87.6,273,2023-01-31
ICB,87.6,87.6,87.6,87.6,1000,2023-01-01
ICBIBANK,5.4,5.4,5.4,5.4,1,2023-01-31
ICBIBANK,5.4,5.4,5.4,5.4,510,2023-01-01
ICICL,40.4,40.4,40.4,40.4,6032,2023-01-31
ICICL,30.9,30.9,30.9,30.9,693,2023-01-01
IDLC,46.5,46.5,46.5,46.5,2241,2023-01-31
IDLC,46.5,46.5,46.5,46.5,3802,2023-01-01
IFADAUTOS,44.1,44.1,44.1,44.1,23,2023-01-31
IFADAUTOS,44.1,44.1,44.1,44.1,8100,2023-01-01
IFIC,11.5,11.5,11.5,11.5,162216,2023-01-31
IFIC,11.5,11.5,11.5,11.5,96019,2023-01-01
IMAMBUTTON,96.8,96.8,96.8,96.8,1,2023-01-31
IMAMBUTTON,119.4,119.4,119.4,119.4,3,2023-01-01
INDEXAGRO,103.6,103.6,103.6,103.6,90,2023-01-31
INDEXAGRO,103.6,103.6,103.6,103.6,5670,2023-01-01
INTECH,23.5,23.5,23.5,23.5,2796,2023-01-31
INTECH,29.0,29.0,29.0,29.0,65,2023-01-01
INTRACO,38.0,38.0,37.1,37.2,1404068,2023-01-31
INTRACO,40.0,41.3,39.1,39.9,2657357,2023-01-01
IPDC,57.6,57.6,57.6,57.6,1,2023-01-31
IPDC,57.6,57.6,57.6,57.6,12,2023-01-01
ISLAMIBANK,33.0,33.3,33.0,33.0,25366,2023-01-31
ISLAMIBANK,33.0,33.4,33.0,33.3,147315,2023-01-01
ISLAMIINS,42.5,42.8,42.5,42.5,58423,2023-01-31
ISLAMIINS,39.0,39.7,38.9,39.0,7553,2023-01-01
ISNLTD,48.0,48.5,48.0,48.0,42772,2023-01-31
ISNLTD,51.2,51.2,51.2,51.2,1741,2023-01-01
ITC,38.5,38.9,37.9,38.3,2574407,2023-01-31
ITC,34.0,34.0,33.3,33.4,240108,2023-01-01
JAMUNABANK,21.3,21.6,21.3,21.4,175752,2023-01-31
JAMUNABANK,21.3,21.3,21.3,21.3,2000,2023-01-01
JAMUNAOIL,167.3,174.0,167.3,170.0,130518,2023-01-31
JAMUNAOIL,167.3,167.3,167.3,167.3,2102,2023-01-01
JANATAINS,30.0,30.2,30.0,30.0,65242,2023-01-31
JANATAINS,28.4,28.4,28.4,28.4,6179,2023-01-01
JHRML,82.0,82.0,74.8,79.1,972522,2023-01-31
JHRML,73.7,73.7,71.6,72.0,336604,2023-01-01
