"Date","Price","Open","High","Low","Vol.","Change %"
"05/11/2015","4,349.22","4,349.22","4,349.22","4,349.22","","1.69%"
"05/10/2015","4,277.05","4,277.05","4,277.05","4,277.05","","3.75%"
"05/07/2015","4,122.32","4,122.32","4,122.32","4,122.32","","0.79%"
"05/06/2015","4,089.88","4,089.88","4,089.88","4,089.88","","1.88%"
"05/05/2015","4,014.37","4,014.37","4,014.37","4,014.37","","1.38%"
"05/04/2015","3,959.73","3,959.73","3,959.73","3,959.73","","-2.16%"
"04/30/2015","4,047.28","4,047.28","4,047.28","4,047.28","","-1.27%"
"04/29/2015","4,099.20","4,099.20","4,099.20","4,099.20","","-0.47%"
"04/27/2015","4,118.49","4,118.49","4,118.49","4,118.49","","0.59%"
"04/26/2015","4,094.47","4,094.47","4,094.47","4,094.47","","-2.33%"
"04/23/2015","4,192.20","4,192.20","4,192.20","4,192.20","","-1.43%"
"04/22/2015","4,252.94","4,252.94","4,252.94","4,252.94","","-0.71%"
"04/21/2015","4,283.24","4,283.24","4,283.24","4,283.24","","-1.45%"
"04/20/2015","4,346.26","4,346.26","4,346.26","4,346.26","","-0.63%"
"04/19/2015","4,373.65","4,373.65","4,373.65","4,373.65","","0.01%"
"04/16/2015","4,373.33","4,373.33","4,373.33","4,373.33","","0.29%"
"04/15/2015","4,360.49","4,360.49","4,360.49","4,360.49","","1.60%"
"04/13/2015","4,291.62","4,291.62","4,291.62","4,291.62","","-0.32%"
"04/12/2015","4,305.27","4,305.27","4,305.27","4,305.27","","-0.93%"
"04/09/2015","4,345.89","4,345.89","4,345.89","4,345.89","","-0.03%"
"04/08/2015","4,347.13","4,347.13","4,347.13","4,347.13","","0.05%"
"04/07/2015","4,345.03","4,345.03","4,345.03","4,345.03","","-1.19%"
"04/06/2015","4,397.25","4,397.25","4,397.25","4,397.25","","-0.76%"
"04/05/2015","4,431.10","4,431.10","4,431.10","4,431.10","","-0.92%"
"04/02/2015","4,472.13","4,472.13","4,472.13","4,472.13","","-0.91%"
"04/01/2015","4,513.10","4,513.10","4,513.10","4,513.10","","-0.38%"
"03/31/2015","4,530.48","4,530.48","4,530.48","4,530.48","","0.47%"
"03/30/2015","4,509.28","4,509.28","4,509.28","4,509.28","","-1.07%"
"03/29/2015","4,558.08","4,558.08","4,558.08","4,558.08","","1.08%"
"03/25/2015","4,509.30","4,509.30","4,509.30","4,509.30","","0.35%"
"03/24/2015","4,493.40","4,493.40","4,493.40","4,493.40","","-0.29%"
"03/23/2015","4,506.55","4,506.55","4,506.55","4,506.55","","-0.59%"
"03/22/2015","4,533.21","4,533.21","4,533.21","4,533.21","","1.46%"
